anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
329,Planetes,Planetes,プラネテス,8.26,"Award Winning, Drama, Romance, Sci-Fi","In 2075, space travel is no longer just a dream, but an everyday reality for mankind. Advancements in science and technology have led to the colonization of the moon, the commercialization of outer space, and the formation of large space corporations. Ai Tanabe, an upbeat woman whose interests lie in the cosmos, joins Technora Corporation as a member of their Debris Section, a department dedicated to the removal of dangerous space junk between the orbits of the Earth and Moon.

However, Ai soon discovers how unappreciated her job is. As the laughingstock of Technora, the Debris Section is severely understaffed, poorly funded, and is forced to use a dilapidated spaceship nicknamed the ""Toy Box"" for debris retrieval. Undeterred, Ai perseveres and gradually becomes acquainted with the strange personalities that make up the Debris Section's staff, such as the bumbling but good-natured chief clerk Philippe Myers; the mysterious and tight-lipped temp worker Edelgard Rivera; and the hotheaded and passionate Hachirouta Hoshino, who longs for a spaceship to call his own.

Planetes is an unconventional sci-fi series that portrays the vastness of space as a backdrop for the personal lives of ordinary people—people who may have been born on Earth, but whose hopes and dreams lie amongst the stars.",TV,26.0,"Oct 4, 2003 to Apr 17, 2004",fall 2003,Finished Airing,"Bandai Visual, NHK",Bandai Entertainment,Sunrise,Manga,25 min per ep,PG-13 - Teens 13 or older,279.0,919,3836,74403.0,243507,https://cdn.myanimelist.net/images/anime/8/50463.jpg
513,Tenkuu no Shiro Laputa,Castle in the Sky,天空の城ラピュタ,8.26,"Adventure, Award Winning, Fantasy, Romance, Sci-Fi","In a world filled with planes and airships, Sheeta is a young girl who has been kidnapped by government agents who seek her mysterious crystal amulet. While trapped aboard an airship, she finds herself without hope—that is, until the ship is raided by pirates. Taking advantage of the ensuing confusion, Sheeta manages to flee from her captors. Upon her escape, she meets Pazu, a boy who dreams of reaching the fabled flying castle, Laputa. The two decide to embark on a journey together to discover this castle in the sky. However, they soon find the government agents back on their trail, as they too are trying to reach Laputa for their own greedy purposes.

Tenkuu no Shiro Laputa follows the soaring adventures of Sheeta and Pazu, all while they learn how dreams and dire circumstances can bring two people closer together.",Movie,1.0,"Aug 2, 1986",UNKNOWN,Finished Airing,"Tokuma Shoten, Streamline Pictures","Disney Platform Distribution, GKIDS",Studio Ghibli,Original,2 hr 4 min,PG - Children,286.0,451,4017,289006.0,460201,https://cdn.myanimelist.net/images/anime/5/37799.jpg
1735,Naruto: Shippuuden,Naruto Shippuden,-ナルト- 疾風伝,8.26,"Action, Adventure, Fantasy","It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.
 
Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.",TV,500.0,"Feb 15, 2007 to Mar 23, 2017",winter 2007,Finished Airing,"TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",VIZ Media,Pierrot,Manga,23 min per ep,PG-13 - Teens 13 or older,278.0,15,107735,1569553.0,2349413,https://cdn.myanimelist.net/images/anime/1565/111305.jpg
2418,Stranger: Mukou Hadan,Sword of the Stranger,ストレンヂア -無皇刃譚-,8.26,"Action, Adventure","In the Sengoku period of Japan, a young orphan named Kotarou and his dog Tobimaru steal from unsuspecting villagers in order to make ends meet. However, Kotarou is forced to remain on the run when he finds himself being hunted down by assassins sent by China's Ming Dynasty for mysterious reasons not involving his petty crimes. 

Fortunately, the duo run into Nanashi, a ronin who has taken refuge in a small temple, when Kotarou is attacked and Tobimaru poisoned. Although the samurai  saves the helpless pair from their pursuers, he feels that there is no need to help them further; but when offered a gem in exchange for his services as a bodyguard, he reluctantly accepts Kotarou's offer of employment—just until Tobimaru is healed and the two reach their destination. As the three set out on a perilous journey, it soon becomes evident that their path is riddled with danger, as the Ming Dynasty has now sent a terrifying swordsman after them to capture Kotarou and fulfill a certain prophecy.",Movie,1.0,"Sep 29, 2007",UNKNOWN,Finished Airing,"Bandai Visual, Shochiku, Sony Music Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Bones,Original,1 hr 43 min,R - 17+ (violence & profanity),281.0,679,2929,159827.0,322226,https://cdn.myanimelist.net/images/anime/9/87066.jpg
23327,Space☆Dandy 2nd Season,Space Dandy 2nd Season,スペース☆ダンディ 第2シリーズ,8.26,"Comedy, Sci-Fi","Second season of Space Dandy.

Space Dandy is a dandy guy, in space! This dreamy adventurer with a to-die-for pompadour travels across the galaxy in search of aliens no one has ever laid eyes on. Each new species he discovers earns him a hefty reward, but this dandy has to be quick on his feet because it's first come, first served! Accompanied by his sidekicks, a rundown robot named QT and Meow the cat-looking space alien, Dandy bravely explores unknown worlds inhabited by a variety of aliens. Join the best dressed alien hunter in all of space and time as he embarks on an adventure that ends at the edge of the universe!

(Source: Bandai Visual)",TV,13.0,"Jul 6, 2014 to Sep 25, 2014",summer 2014,Finished Airing,"Bandai Visual, flying DOG, Bandai Namco Entertainment",Funimation,Bones,Original,24 min per ep,PG-13 - Teens 13 or older,280.0,1355,1807,85952.0,161732,https://cdn.myanimelist.net/images/anime/3/64451.jpg
38731,Diamond no Ace: Act II,Ace of Diamond Act II,ダイヤのA[エース] actII,8.26,Sports,"The hallowed ground of Koshien Stadium is the ""field of dreams,"" where the ambitions of high school baseball players come true. After emerging victorious in the autumn tournament last year, Seidou High School baseball's team  has finally earned the right to compete there for the first time in seven years.  Beyond the spring tournament looms the battle to decide who is the best team in the nation  — the Summer Koshien.

 With the third-year players due to retire after the summer tournament, the team has to integrate the experience of the seniors and the potential of the newcomers to overcome familiar and new opponents alike and win the coveted national title. 

Meanwhile, pitcher Eijun Sawamura is as determined as ever to earn jersey No. 1  and seize the position of ""ace"" from his persistent rival, Satoru Furuya.  As the team prepares for their greatest challenge yet, Sawamura and Furuya carry on their struggle to lead their team to glory and become the star of the game: the true ""Ace of the Diamond.""",TV,52.0,"Apr 2, 2019 to Mar 31, 2020",spring 2019,Finished Airing,"TV Tokyo, Sotsu, Pony Canyon, Kodansha, AT-X, DAX Production",UNKNOWN,Madhouse,Manga,24 min per ep,PG-13 - Teens 13 or older,282.0,2142,941,42052.0,84897,https://cdn.myanimelist.net/images/anime/1153/100511.jpg
46569,Jigokuraku,Hell's Paradise,地獄楽,8.26,"Action, Adventure, Fantasy","Sentenced to death, ninja Gabimaru the Hollow finds himself apathetic. After leading a blood-soaked life, Gabimaru believes he deserves to die. However, every attempt to execute him inexplicably fails. Finally, Sagiri Yamada Asaemon, a fledgling member of a famed executioner clan, is asked to take Gabimaru's life; yet Sagiri makes no move to kill him as requested.

Insisting that Gabimaru will not die because of his love for his wife, Sagiri instead offers him the chance to obtain a full pardon for his crimes. If he can travel to the island of Shinsekyo and obtain the Elixir of Life—which supposedly grants immortality—and bring it back for the shogun, then his freedom will be assured.

But of the many who have traveled to Shinsekyo in search of the mythical Elixir, not a single person has returned sound of mind, if at all. Though unaware of the numerous dangers ahead, Gabimaru decides to accept the offer—alongside ten other death row convicts—in hope that he and his wife may finally live in peace.",TV,13.0,"Apr 1, 2023 to Jul 1, 2023",spring 2023,Currently Airing,"Shueisha, Twin Engine",UNKNOWN,MAPPA,Manga,24 min per ep,R - 17+ (violence & profanity),285.0,484,4224,91363.0,434062,https://cdn.myanimelist.net/images/anime/1075/131925.jpg
50528,Golden Kamuy 4th Season,Golden Kamuy Season 4,ゴールデンカムイ,8.26,"Action, Adventure","The race to obtain the lost Ainu gold is nearing its peak, as even more formidable ex-prisoners are set on keeping their tattooed skins intact. Saichi ""The Immortal"" Sugimoto and Asirpa can finally move forward together, but Asirpa's time with Kiroranke and Ogata Hyakunosuke has slightly altered her ambition and strengthened her determination. As their party leaves the Russian territory, they gain a peculiar follower.

Meanwhile, Toshizou Hijikata's crew makes major moves to get invaluable skins, falling into the poisonous trap of a dangerous convict. Although each group possesses a strong advantage over the others, even First Lieutenant Tokushirou Tsurumi—the most powerful and ruthless contender—cannot advance without Asirpa's help. However, his ominous plans for when they will inevitably meet remain a mystery.",TV,13.0,"Oct 3, 2022 to Jun 27, 2023",fall 2022,Currently Airing,"NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, JR East Marketing & Communications, Twin Engine",UNKNOWN,Brain's Base,Manga,23 min per ep,R - 17+ (violence & profanity),283.0,2257,518,10633.0,78088,https://cdn.myanimelist.net/images/anime/1855/128059.jpg
523,Tonari no Totoro,My Neighbor Totoro,となりのトトロ,8.25,"Adventure, Award Winning, Supernatural","In 1950s Japan, Tatsuo Kusakabe relocates himself and his two daughters, Satsuki and Mei, to the countryside to be closer to their mother, who is hospitalized due to long-term illness. As the girls grow acquainted with rural life, Mei encounters a small, bunny-like creature in the yard one day. Chasing it into the forest, she finds ""Totoro""—a giant, mystical forest spirit whom she soon befriends. Before long, Satsuki too meets Totoro, and the two girls suddenly find their lives filled with magical adventures in nature and fantastical creatures of the woods.",Movie,1.0,"Apr 16, 1988",UNKNOWN,Finished Airing,"Studio Fantasia, Streamline Pictures","Disney Platform Distribution, GKIDS",Studio Ghibli,Original,1 hr 26 min,G - All Ages,287.0,143,7978,658094.0,1009153,https://cdn.myanimelist.net/images/anime/4/75923.jpg
1033,Sennen Joyuu,Millennium Actress,千年女優,8.25,"Action, Adventure, Award Winning, Drama, Fantasy, Romance","At the turn of the millennium, Ginei Studio's dilapidated buildings are set to be demolished. Ex-employee and filmmaker Genya Tachibana decides to honor this occasion with a commemorative documentary about the company's star actress: Chiyoko Fujiwara, the reclusive sweetheart of Shouwa Era cinema. Having finally obtained permission to interview the retired starlet, an enamored Genya drags along cynical cameraman Kyouji Ida to meet her, ready to put his lifelong idol back in the spotlight once more.

Hidden in this secluded mountain retreat is a thousand years of history condensed into one lifetime, waiting to be narrated. Chiyoko's recollections take them on an illusionary journey through Japanese cinematic history that transcends the boundaries of reality; the saga of her acting career intertwines with her filmography, the actors in her life blend seamlessly with the characters on screen, and the present melds with the past. Though the actress may have retired at the height of her career 30 years ago, the curtain on her life's stage has yet to fall.",Movie,1.0,"Sep 14, 2002",UNKNOWN,Finished Airing,"Bandai Visual, WOWOW, Genco, Kadokawa Shoten, KlockWorx","Eleven Arts, DreamWorks",Madhouse,Original,1 hr 26 min,PG-13 - Teens 13 or older,289.0,1261,2488,79434.0,176075,https://cdn.myanimelist.net/images/anime/1648/93626.jpg
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,Kaiji: Against All Rules,逆境無頼カイジ 破戒録篇,8.25,Suspense,"Owing to an increasing debt, Kaiji Itou ends up resuming his old lifestyle. One day, while walking on the street, he stumbles upon Yuuji Endou, who is hunting Kaiji due to the money he owes to the Teiai Group. Unaware of this, Kaiji eagerly follows Endou, hoping for a chance to participate in another gamble, but soon finds out the loan shark's real intentions when he is kidnapped.

Given that Kaiji is unable to pay off his huge debt, the Teiai Group instead sends him to work in an underground labor camp. He is told that he will have to live in this hell for 15 years, alongside other debtors, until he can earn his freedom. His only hope to put an early end to this nightmare is by saving enough money to be able to go back to the surface for a single day. Once he is there, he plans to obtain the remaining money needed to settle his account by making a high-stakes wager. However, as many temptations threaten his scarce income, Kaiji may have to resort to gambling sooner than he had expected.",TV,26.0,"Apr 6, 2011 to Sep 28, 2011",spring 2011,Finished Airing,"VAP, Nippon Television Network",Sentai Filmworks,Madhouse,Manga,24 min per ep,R - 17+ (violence & profanity),297.0,1186,2637,101962.0,185700,https://cdn.myanimelist.net/images/anime/10/30599.jpg
28805,Bakemono no Ko,The Boy and the Beast,バケモノの子,8.25,"Adventure, Fantasy","Two souls, living very different lives, wander alone and isolated in their respective worlds. For nine-year-old Ren, the last person who treated him with any form of kindness has been killed, and he is shunned by what is left of his family. With no parents, no real family, and no place to go, Ren escapes into the confusing streets and alleyways of Shibuya. Through the twists and turns of the alleys, Ren stumbles into the intimidating Kumatetsu, who leads him to the beast realm of Shibuten.

For Kumatetsu, the boy represents a chance for him to become a candidate to replace the lord of the realm once he retires. While nearly unmatched in combat, Kumatetsu's chilly persona leaves him with no disciples to teach and no way to prove he is worthy of becoming the lord's successor. 

While the two share different goals, they agree to help each other in order to reach them. Kumatetsu searches for recognition; Ren, now known as Kyuuta, searches for the home he never had. As the years pass by, it starts to become apparent that the two are helping each other in more ways than they had originally thought. Perhaps there has always been less of a difference between them, a boy and a beast, than either of the two ever realized.",Movie,1.0,"Jul 11, 2015",UNKNOWN,Finished Airing,"Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Nippon Television Network, Arquebuse",Funimation,Studio Chizu,Original,1 hr 59 min,PG-13 - Teens 13 or older,292.0,518,3119,217830.0,408316,https://cdn.myanimelist.net/images/anime/11/73540.jpg
